iter	RMSE
0	12.41862487
1	12.17118497
2	11.90820578
3	11.65952571
4	11.41117642
5	11.13769617
6	10.92659078
7	10.78320086
8	10.67155654
9	10.42641536
10	10.22110738
11	10.03368044
12	9.82693825
13	9.641985891
14	9.458283697
15	9.256083735
16	9.08086842
17	8.874998757
18	8.709497013
19	8.563342792
20	8.430002721
21	8.263617837
22	8.108167641
23	8.016406865
24	7.88745879
25	7.758922573
26	7.667817513
27	7.549878678
28	7.402384099
29	7.255571553
30	7.12739163
31	7.023912369
32	6.904808034
33	6.790067556
34	6.699776404
35	6.582726802
36	6.494905621
37	6.385697287
38	6.29417267
39	6.192627176
40	6.093191353
41	5.99804498
42	5.925356525
43	5.837209938
44	5.749196648
45	5.656303538
46	5.56082306
47	5.483107845
48	5.404747787
49	5.326722909
50	5.251224309
51	5.173169056
52	5.105009944
53	5.008368148
54	4.933472018
55	4.859955796
56	4.792300276
57	4.729362263
58	4.662042602
59	4.591722339
60	4.537834427
61	4.483827047
62	4.422339394
63	4.360202617
64	4.299368103
65	4.247227066
66	4.189130841
67	4.128931997
68	4.066318222
69	4.012001804
70	3.958322219
71	3.89454662
72	3.843551657
73	3.795643954
74	3.745980068
75	3.704676768
76	3.65501598
77	3.607985223
78	3.561411215
79	3.518572239
80	3.479758271
81	3.435826753
82	3.398544834
83	3.360858857
84	3.317990306
85	3.267724327
86	3.23069366
87	3.188485313
88	3.148255797
89	3.107519645
90	3.071696138
91	3.031447937
92	2.994929543
93	2.956198478
94	2.917403611
95	2.880096545
96	2.846738571
97	2.811145252
98	2.782644193
99	2.743273547
100	2.707143823
101	2.675570955
102	2.647256067
103	2.618066684
104	2.590910231
105	2.56148308
106	2.523264764
107	2.493392899
108	2.46661156
109	2.44043176
110	2.416518634
111	2.390492472
112	2.36436094
113	2.331763794
114	2.305792152
115	2.279471135
116	2.248991787
117	2.223910359
118	2.195589829
119	2.174983285
120	2.154428205
121	2.126923485
122	2.100213589
123	2.075903164
124	2.051913923
125	2.03200871
126	2.011075748
127	1.987987434
128	1.958568503
129	1.938717762
130	1.917099635
131	1.889254767
132	1.869257177
133	1.847521104
134	1.819744056
135	1.793406378
136	1.773424223
137	1.750040577
138	1.730950458
139	1.714323785
140	1.69490859
141	1.675331407
142	1.654124098
143	1.637206043
144	1.620630995
145	1.603157775
146	1.587801023
147	1.572457557
148	1.554962407
149	1.536704886
150	1.517996273
151	1.503748643
152	1.489156053
153	1.469509927
154	1.45534677
155	1.440254027
